epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.105,1.73476,4.21876,1.50129,0.00748,0.31837,0.03389,0.01719,1.8419,4.27781,1.55727,6.426e-05,6.426e-05,6.426e-05
2,149.711,1.14071,3.58551,1.11443,0.01637,0.82931,0.10699,0.06724,1.15914,3.84013,1.08043,0.000132974,0.000132974,0.000132974
3,222.338,1.02518,3.00934,1.05831,0.01816,0.99103,0.16786,0.12015,0.84598,3.54864,0.92,0.00019886,0.00019886,0.00019886
4,295.784,0.98479,2.59254,1.07532,0.01958,0.99474,0.22934,0.1778,0.80405,3.39374,0.90304,0.000261919,0.000261919,0.000261919
5,368.423,1.00192,2.22574,1.08972,0.76421,0.07473,0.36752,0.28975,0.79228,3.22426,0.9168,0.000322151,0.000322151,0.000322151
6,442.704,0.97836,1.9454,1.07816,0.65085,0.28246,0.46676,0.36489,0.8033,2.79477,0.92915,0.000379555,0.000379555,0.000379555
7,516.17,0.95475,1.77318,1.08326,0.55128,0.45707,0.56179,0.43718,0.85382,2.58214,0.92618,0.000434132,0.000434132,0.000434132
8,588.361,0.96968,1.67431,1.05441,0.69311,0.58758,0.71306,0.54503,0.81114,2.49941,0.92557,0.000485881,0.000485881,0.000485881
9,660.748,0.96464,1.48404,1.06798,0.74614,0.64407,0.84952,0.66253,0.81516,2.23015,0.93743,0.000534803,0.000534803,0.000534803
10,731.622,0.90009,1.37351,1.03424,0.75479,0.69241,0.89941,0.70638,0.81835,2.00764,0.92279,0.000580898,0.000580898,0.000580898
11,803.566,0.91981,1.35494,1.0355,0.89816,0.85056,0.96597,0.76076,0.80386,1.51792,0.94119,0.000572628,0.000572628,0.000572628
12,875.957,0.94202,1.21104,1.06352,0.95763,0.91828,0.98389,0.77866,0.82716,1.34876,0.94257,0.000558491,0.000558491,0.000558491
13,947.934,0.96508,1.21386,1.07637,0.90987,0.91125,0.9864,0.74837,0.88697,1.35349,0.96113,0.000544354,0.000544354,0.000544354
